user_id,date,exercise,sets,reps,weight_kg,session_duration_hr,calories_burned,avg_bpm,max_bpm,water_intake_l,workout_type,workout_difficulty,workout_category
U0601,2024-03-23,CYCLING,,,,0.74,394.0,147.0,160,0.42,CARDIO,1.0,NW
U0682,2024-01-10,SQUAT,4.0,,110.7,0.45,259.0,130.0,150,0.68,STRENGTH,7.0,WEIGHT
U0269,2024-05-15,RUNNING,,,,1.33,505.0,139.0,149,0.9,CARDIO,10.0,NW
U0919,07-05-2024,YOGA,,,,1.05,382.0,116.0,132,0.82,MOBILITY,4.0,NW
U1182,2024-11-09,YOGA,,,,1.01,281.0,113.0,133,0.87,MOBILITY,5.0,NW
U0527,2024-07-01,YOGA,,,,0.36,495.0,148.0,166,1.02,MOBILITY,5.0,NW
U1109,2024-05-22,HIIT,,,,0.95,228.0,157.0,174,0.69,HIIT,6.0,NW
U0805,2024-11-15,RUNNING,,,,1.25,492.0,141.0,164,1.1,CARDIO,4.0,NW
U0818,2024-10-04,YOGA,,,,0.93,162.0,157.0,180,0.36,MOBILITY,10.0,NW
U0538,2024-03-04,DEADLIFT,3.0,12.0,106.5,1.04,391.0,147.0,157,1.0,STRENGTH,2.0,WEIGHT
 U1194 ,2024-01-25,ROW,,,,1.07,471.0,120.0,139,0.35,CARDIO,4.0,NW
U0344,2024-12-05,RUNNING,,,,1.42,522.0,139.0,154,0.88,CARDIO,2.0,NW
U0229,2024-12-01,SQUAT,5.0,9.0,85.6,1.45,,92.0,106,0.41,STRENGTH,4.0,WEIGHT
U0069,2024-09-02,ROW,,,,1.0,315.0,144.0,164,0.51,CARDIO,2.0,NW
U0837,2024-05-17,SQUAT,5.0,8.0,112.3,1.15,217.0,141.0,164,0.36,STRENGTH,5.0,WEIGHT
U1168,2024-10-13,CYCLING,,,,0.38,228.0,104.0,116,0.47,CARDIO,5.0,NW
U1055,2024-05-29,ROW,,,,0.35,196.0,105.0,120,0.38,CARDIO,5.0,NW
U0035,2024-03-14,BENCHPRESS,5.0,9.0,126.7,1.46,272.0,109.0,132,0.82,STRENGTH,5.0,WEIGHT
U0348,2024-09-07,ROW,,,,0.89,340.0,96.0,110,0.37,CARDIO,4.0,NW
U1145,2024/01/25,HIIT,,,,1.27,368.0,135.0,150,,HIIT,9.0,NW
U0772,2024-12-31,HIIT,,,,0.96,318.0,152.0,173,1.02,HIIT,5.0,NW
 U0803 ,2024-03-04,RUNNING,,,,0.98,203.0,143.0,167,0.51,CARDIO,5.0,NW
 U0452 ,2024-05-29,DEADLIFT,4.0,11.0,43.2,1.38,598.0,127.0,152,0.36,STRENGTH,9.0,WEIGHT
U0524,2024/03/11,DEADLIFT,3.0,5.0,129.8,0.67,548.0,157.0,170,0.67,STRENGTH,7.0,WEIGHT
U0036,2024-07-24,DEADLIFT,4.0,10.0,101.8,0.91,364.0,107.0,126,0.85,STRENGTH,6.0,WEIGHT
U0384,06/01/2024,DEADLIFT,5.0,6.0,40.6,0.66,221.0,153.0,165,0.44,STRENGTH,2.0,WEIGHT
U0574,2024-09-12,DEADLIFT,5.0,7.0,86.8,0.95,581.0,104.0,122,0.7,STRENGTH,4.0,WEIGHT
U0297,2024-11-10,DEADLIFT,5.0,8.0,48.9,0.75,587.0,143.0,161,0.58,STRENGTH,10.0,WEIGHT
U0143,2024-05-08,YOGA,,,,0.55,452.0,144.0,167,0.32,MOBILITY,4.0,NW
U1095,2024-08-24,ROW,,,,0.73,508.0,134.0,153,,CARDIO,4.0,NW
U0411,2024-09-11,SQUAT,4.0,7.0,91.2,1.2,287.0,137.0,156,0.96,STRENGTH,5.0,WEIGHT
 U0512 ,2024-12-24,BENCHPRESS,3.0,5.0,116.2,1.48,324.0,161.0,181,1.08,STRENGTH,7.0,WEIGHT
U0536,2024-05-20,ROW,,,,1.0,562.0,152.0,176,0.62,CARDIO,5.0,NW
U0741,2024-01-26,YOGA,,,,1.04,409.0,144.0,166,1.17,MOBILITY,2.0,NW
U0850,2024-05-29,BENCHPRESS,5.0,,126.7,0.62,384.0,148.0,160,1.1,STRENGTH,7.0,WEIGHT
U0417,2024-01-27,RUNNING,,,,0.94,216.0,138.0,162,0.94,CARDIO,5.0,NW
U0040,2024-09-04,DEADLIFT,3.0,12.0,87.8,0.66,472.0,136.0,152,0.88,STRENGTH,2.0,WEIGHT
U0794,2024-05-22,DEADLIFT,4.0,10.0,,1.45,225.0,123.0,133,1.09,STRENGTH,6.0,WEIGHT
U0089,2024-04-03,DEADLIFT,5.0,10.0,135.1,1.0,433.0,120.0,143,0.64,STRENGTH,5.0,WEIGHT
U0738,02-27-2024,BENCHPRESS,4.0,10.0,107.5,0.79,175.0,145.0,168,0.72,STRENGTH,7.0,WEIGHT
U0675,2024-01-13,SQUAT,3.0,12.0,97.1,0.93,593.0,95.0,108,0.69,STRENGTH,5.0,WEIGHT
U0381,2024-05-26,CYCLING,,,,0.52,,136.0,148,0.7,CARDIO,8.0,NW
U0339,2024/06/17,HIIT,,,,1.0,344.0,147.0,166,1.07,HIIT,2.0,NW
U0354,2024-10-03,CYCLING,,,,1.46,238.0,110.0,134,1.03,CARDIO,8.0,NW
U0973,2024-04-29,ROW,,,,1.41,389.0,151.0,162,0.37,CARDIO,5.0,NW
U0063,2024-08-15,YOGA,,,,0.61,488.0,99.0,121,0.56,MOBILITY,5.0,NW
U0048,2024-08-22,JOGGING,,,,0.64,263.0,150.0,163,1.17,CARDIO,5.0,NW
U0706,2024-02-14,RUNNING,,,,1.29,287.0,151.0,175,,CARDIO,8.0,NW
U0905,2024-09-20,YOGA,,,,1.28,562.0,162.0,176,0.31,MOBILITY,9.0,NW
U0161,2024-09-15,YOGA,,,,0.84,488.0,101.0,124,1.07,MOBILITY,5.0,NW
U0041,2024-03-02,YOGA,,,,1.33,333.0,120.0,142,0.84,MOBILITY,5.0,NW
U0971,2024-09-25,HIIT,,,,0.96,228.0,,112,,HIIT,2.0,NW
U0330,2024-01-29,BENCHPRESS,4.0,12.0,118.1,1.01,284.0,154.0,167,1.12,STRENGTH,5.0,WEIGHT
U0328,2024-06-27,RUNNING,,,,1.36,155.0,150.0,165,0.52,CARDIO,5.0,NW
U0851,2024-01-27,BENCHPRESS,3.0,11.0,74.7,1.03,401.0,142.0,157,0.75,STRENGTH,6.0,WEIGHT
U1010,2024-04-08,ROW,,,,1.17,168.0,133.0,151,0.37,CARDIO,2.0,NW
U0410,2024-04-04,YOGA,,,,0.48,434.0,,121,0.35,MOBILITY,9.0,NW
U0513,2024-11-26,DEADLIFT,4.0,11.0,54.2,0.38,509.0,94.0,115,0.32,STRENGTH,5.0,WEIGHT
U1173,2024/02/06,BENCHPRESS,3.0,5.0,74.6,0.87,396.0,126.0,147,0.37,STRENGTH,1.0,WEIGHT
U1048,2024-02-01,DEADLIFT,5.0,11.0,76.1,0.9,163.0,155.0,176,0.98,STRENGTH,6.0,WEIGHT
U0060,2024-04-23,SQUAT,4.0,10.0,43.6,0.55,154.0,138.0,154,0.68,STRENGTH,3.0,WEIGHT
U0325,2024-03-24,DEADLIFT,4.0,11.0,108.2,1.19,460.0,162.0,172,0.96,STRENGTH,9.0,WEIGHT
U0750,2024-12-24,BENCHPRESS,4.0,12.0,136.0,0.71,295.0,103.0,121,0.4,STRENGTH,8.0,WEIGHT
U0365,2024/09/21,ROW,,,,1.0,321.0,164.0,180,0.62,CARDIO,1.0,NW
U1123,2024-10-18,RUNNING,,,,0.98,363.0,156.0,176,0.55,CARDIO,9.0,NW
U0812,2024-05-06,HIIT,,,,0.9,196.0,104.0,123,0.93,HIIT,3.0,NW
U0999,2024-10-09,ROW,,,,1.26,329.0,137.0,153,0.82,CARDIO,2.0,NW
 U0323 ,2024-08-21,HIIT,,,,0.98,242.0,105.0,119,1.03,HIIT,8.0,NW
U0528,2024-04-19,DEADLIFT,5.0,10.0,40.5,0.48,398.0,98.0,116,,STRENGTH,5.0,WEIGHT
U0563,04-17-2024,YOGA,,,,0.49,209.0,98.0,110,,MOBILITY,5.0,NW
U0276,2024-12-25,YOGA,,,,1.31,283.0,146.0,171,0.98,MOBILITY,5.0,NW
U1064,2024-08-31,DEADLIFT,5.0,12.0,,1.43,348.0,136.0,153,0.87,STRENGTH,5.0,WEIGHT
U0073,2024-11-09,HIIT,,,,0.31,198.0,134.0,156,1.09,HIIT,7.0,NW
U0323,2024-04-07,SQUAT,4.0,6.0,134.8,0.79,490.0,160.0,178,,STRENGTH,2.0,WEIGHT
U0338,2024-01-24,YOGA,,,,0.72,544.0,132.0,156,0.47,MOBILITY,7.0,NW
U0559,2024-06-18,HIIT,,,,0.98,393.0,111.0,121,0.41,HIIT,1.0,NW
U0366,2024-09-25,SQUAT,5.0,9.0,49.2,0.67,427.0,91.0,113,1.0,STRENGTH,2.0,WEIGHT
U1032,2024-06-27,RUNNING,,,,0.95,213.0,119.0,129,0.61,ENDURANCE,3.0,NW
U0518,2024-03-18,SQUAT,5.0,7.0,126.6,1.31,238.0,138.0,148,0.61,STRENGTH,5.0,WEIGHT
U0941,2024-08-27,YOGA,,,,1.45,282.0,136.0,159,0.66,MOBILITY,1.0,NW
U0834,2024-08-02,SQUAT,5.0,5.0,81.6,1.08,229.0,142.0,152,0.6,STRENGTH,9.0,WEIGHT
U0765,2024-08-18,HIIT,,,,1.37,497.0,118.0,136,0.46,HIIT,10.0,NW
U1194,2024-09-18,SQUAT,3.0,7.0,44.4,1.45,161.0,136.0,148,0.7,STRENGTH,7.0,WEIGHT
U0017,2024-08-30,HIIT,,,,0.63,254.0,137.0,159,1.11,HIIT,5.0,NW
 U0387 ,2024-02-07,CYCLING,,,,1.21,214.0,101.0,126,0.5,CARDIO,6.0,NW
U0611,2024-10-19,DEADLIFT,4.0,11.0,106.9,0.43,445.0,108.0,128,0.79,STRENGTH,2.0,WEIGHT
 U0210 ,2024-03-20,SQUAT,5.0,10.0,95.2,0.37,517.0,124.0,146,0.69,STRENGTH,3.0,WEIGHT
U0336,2024-12-15,ROW,,,,1.36,482.0,96.0,121,0.61,CARDIO,8.0,NW
U1075,2024-02-11,HIIT,,,,0.53,553.0,101.0,124,0.6,HIIT,1.0,NW
U0487,2024-01-04,HIIT,,,,0.99,572.0,91.0,102,,HIIT,5.0,NW
U0275,2024-11-19,DEADLIFT,4.0,12.0,,1.34,211.0,125.0,139,0.69,STRENGTH,10.0,WEIGHT
U0350,2024-01-11,SQUAT,,7.0,139.0,0.65,231.0,148.0,164,0.53,STRENGTH,5.0,WEIGHT
U0251,2024/06/17,HIIT,,,,1.33,158.0,163.0,176,0.65,HIIT,3.0,NW
U0397,2024-02-19,BENCHPRESS,,12.0,129.1,1.08,178.0,132.0,146,1.13,STRENGTH,2.0,WEIGHT
U0855,2024-05-10,HIIT,,,,1.29,173.0,118.0,142,0.82,HIIT,9.0,NW
U0561,2024-01-30,ROW,,,,0.64,392.0,145.0,169,0.41,CARDIO,5.0,NW
U0129,2024-11-25,ROW,,,,0.34,513.0,96.0,107,0.58,CARDIO,8.0,NW
U0424,2024-03-14,DEADLIFT,3.0,9.0,79.1,1.2,291.0,99.0,109,0.96,STRENGTH,2.0,WEIGHT
U0230,2024-11-18,SQUAT,5.0,6.0,58.7,1.2,513.0,98.0,109,0.52,STRENGTH,4.0,WEIGHT
U0849,2024-08-11,YOGA,,,,1.22,161.0,163.0,182,0.56,MOBILITY,5.0,NW
 U0062 ,2024-01-21,HIIT,,,,0.99,482.0,153.0,178,1.1,HIIT,5.0,NW
U0562,2024-09-15,HIIT,,,,1.29,558.0,114.0,135,0.92,HIIT,2.0,NW
U1025,2024-06-20,HIIT,,,,1.24,204.0,140.0,157,0.37,HIIT,10.0,NW
U0293,2024-06-24,BENCHPRESS,5.0,8.0,83.8,1.03,577.0,139.0,163,0.82,STRENGTH,7.0,WEIGHT
U0874,2024-09-05,HIIT,,,,0.94,303.0,157.0,178,0.89,HIIT,5.0,NW
U1137,2024-01-18,RUNNING,,,,0.81,586.0,104.0,123,0.31,CARDIO,5.0,NW
U0408,2024-02-03,HIIT,,,,1.47,264.0,90.0,106,0.42,HIIT,8.0,NW
U1032,2024-03-11,YOGA,,,,0.57,296.0,110.0,133,0.35,MOBILITY,4.0,NW
U1146,2024-01-02,BENCHPRESS,3.0,,54.3,1.1,543.0,142.0,153,0.33,STRENGTH,1.0,WEIGHT
U1012,2024-02-28,CYCLING,,,,1.06,593.0,158.0,181,0.98,CARDIO,9.0,NW
U0072,12-11-2024,RUNNING,,,,0.4,543.0,103.0,120,0.82,CARDIO,10.0,NW
U0639,2024-10-30,DEADLIFT,3.0,8.0,124.3,1.0,543.0,116.0,134,0.45,STRENGTH,7.0,WEIGHT
U0030,2024/03/15,ROW,,,,1.25,471.0,97.0,120,1.01,CARDIO,1.0,NW
U0582,2024-12-01,RUNNING,,,,1.4,430.0,146.0,164,1.19,CARDIO,5.0,NW
U1095,2024-06-12,SQUAT,,5.0,51.6,0.54,177.0,202.0,143,0.46,STRENGTH,5.0,WEIGHT
U1065,2024-04-10,YOGA,,,,0.88,254.0,94.0,105,0.59,MOBILITY,10.0,NW
U0441,2024-06-11,BENCHPRESS,3.0,9.0,74.7,0.58,242.0,160.0,183,0.93,STRENGTH,5.0,WEIGHT
U1131,2024-07-26,CYCLING,,,,1.49,348.0,102.0,118,0.58,CARDIO,3.0,NW
U0108,2024-09-20,SQUAT,4.0,6.0,,0.62,432.0,114.0,126,0.69,STRENGTH,7.0,WEIGHT
U0080,2024-05-10,ROW,,,,0.54,441.0,137.0,159,0.78,CARDIO,9.0,NW
U0637,2024-07-20,BENCHPRESS,4.0,7.0,94.5,0.6,342.0,111.0,125,0.85,STRENGTH,5.0,WEIGHT
U1182,2024-10-15,RUNNING,,,,1.14,399.0,99.0,118,0.74,CARDIO,6.0,NW
U0748,2024-05-27,DEADLIFT,5.0,12.0,76.4,0.61,590.0,163.0,183,0.86,STRENGTH,5.0,WEIGHT
U0351,2024-07-28,YOGA,,,,0.37,579.0,98.0,120,0.95,MOBILITY,5.0,NW
U0045,2024-08-05,HIIT,,,,1.22,500.0,103.0,116,0.72,HIIT,3.0,NW
U1007,2024-03-22,ROW,,,,0.97,535.0,109.0,120,1.14,CARDIO,3.0,NW
U0335,2024-11-15,YOGA,,,,0.43,381.0,92.0,103,0.42,MOBILITY,9.0,NW
U0951,2024-01-09,CYCLING,,,,1.39,415.0,133.0,152,0.94,CARDIO,3.0,NW
U0140,2024-09-29,SQUAT,5.0,6.0,57.7,1.32,439.0,101.0,119,1.18,STRENGTH,9.0,WEIGHT
U0025,2024-10-05,RUNNING,,,,1.04,517.0,123.0,135,0.78,CARDIO,5.0,NW
U0292,2024-12-29,SQUAT,3.0,10.0,56.6,0.56,1559.0,125.0,149,0.57,STRENGTH,9.0,WEIGHT
U1153,2024-01-02,BENCHPRESS,4.0,11.0,51.0,0.34,517.0,164.0,177,0.66,STRENGTH,1.0,WEIGHT
U0513,2024-06-04,CYCLING,,,,1.27,287.0,128.0,139,0.37,CARDIO,2.0,NW
U0865,2024-04-06,CYCLING,,,,1.24,520.0,113.0,137,0.31,CARDIO,6.0,NW
U0473,2024-06-18,RUNNING,,,,0.56,378.0,153.0,175,,CARDIO,5.0,NW
 U0921 ,2024-05-21,ROW,,,,0.57,558.0,134.0,151,0.42,CARDIO,5.0,NW
U0496,2024-07-27,RUNNING,,,,0.42,169.0,145.0,155,0.3,CARDIO,8.0,NW
U0652,2024-09-11,YOGA,,,,1.33,,,180,0.42,MOBILITY,6.0,NW
U0902,2024-01-23,DEADLIFT,3.0,7.0,67.7,0.65,365.0,126.0,137,0.6,STRENGTH,1.0,WEIGHT
U0777,2024-11-16,RUNNING,,,,0.45,558.0,133.0,143,0.86,CARDIO,3.0,NW
U1026,2024-03-18,BENCHPRESS,5.0,11.0,80.5,1.08,345.0,94.0,110,,STRENGTH,4.0,WEIGHT
U0949,2024-09-21,RUNNING,,,,1.04,536.0,104.0,129,0.99,CARDIO,9.0,NW
U0058,2024-12-08,ROW,,,,1.28,359.0,117.0,139,0.82,CARDIO,5.0,NW
U0735,2024-03-03,BENCHPRESS,3.0,10.0,89.1,1.0,586.0,96.0,106,0.67,STRENGTH,5.0,WEIGHT
U0889,2024-01-04,YOGA,,,,0.35,588.0,154.0,172,0.99,MOBILITY,8.0,NW
U1178,2024-01-01,CYCLING,,,,1.36,375.0,126.0,141,0.7,CARDIO,3.0,NW
U0756,2024-05-03,ROW,,,,0.78,557.0,127.0,146,,CARDIO,5.0,NW
U0362,2024-07-02,YOGA,,,,1.34,530.0,129.0,153,0.36,MOBILITY,2.0,NW
U0307,2024-04-02,SQUAT,5.0,12.0,88.8,1.08,434.0,122.0,136,0.56,STRENGTH,7.0,WEIGHT
U0648,2024-07-25,ROW,,,,1.49,238.0,113.0,137,0.58,CARDIO,5.0,NW
U0294,2024-06-10,BENCHPRESS,4.0,9.0,61.2,0.89,199.0,,126,0.48,STRENGTH,4.0,WEIGHT
U0616,2024-01-23,DEADLIFT,,5.0,121.1,1.32,577.0,99.0,115,0.98,STRENGTH,10.0,WEIGHT
U0499,2024-08-19,ROW,,,,1.3,443.0,154.0,167,0.89,CARDIO,5.0,NW
U0724,2024-09-27,DEADLIFT,4.0,9.0,122.8,0.4,512.0,152.0,165,0.52,STRENGTH,9.0,WEIGHT
U1167,2024-06-28,RUNNING,,,,1.33,350.0,143.0,161,0.97,CARDIO,4.0,NW
U0007,2024-10-06,YOGA,,,,0.32,482.0,162.0,172,0.92,MOBILITY,7.0,NW
U1143,2024-06-27,CYCLING,,,,1.38,498.0,115.0,132,,CARDIO,2.0,NW
U0050,2024-04-30,ROW,,,,1.39,551.0,155.0,176,1.04,CARDIO,1.0,NW
 U1014 ,2024-07-03,CYCLING,,,,0.75,587.0,105.0,126,0.51,ENDURANCE,5.0,NW
U0932,2024-04-07,CYCLING,,,,0.67,179.0,145.0,164,0.72,CARDIO,5.0,NW
U0360,2024-02-23,CYCLING,,,,0.92,340.0,160.0,185,0.85,CARDIO,3.0,NW
U1150,2024-08-17,CYCLING,,,,0.68,152.0,128.0,152,0.96,CARDIO,5.0,NW
U0115,2024-09-14,HIIT,,,,0.59,557.0,135.0,159,,HIIT,2.0,NW
U0029,2024-11-03,YOGA,,,,0.89,389.0,147.0,157,0.55,MOBILITY,9.0,NW
U0156,2024-07-11,DEADLIFT,5.0,5.0,116.4,0.65,271.0,164.0,186,0.94,STRENGTH,5.0,WEIGHT
 U1121 ,2024-08-15,RUNNING,,,,0.64,269.0,111.0,127,,CARDIO,2.0,NW
U1105,2024-03-29,CYCLING,,,,0.88,477.0,90.0,111,0.53,CARDIO,7.0,NW
U0008,2024-11-09,RUNNING,,,,0.7,243.0,115.0,133,0.38,CARDIO,1.0,NW
U0219,2024-03-19,CYCLING,,,,1.21,152.0,112.0,124,0.62,CARDIO,8.0,NW
U0858,2024-11-03,CYCLING,,,,0.51,276.0,112.0,123,0.71,CARDIO,6.0,NW
U1193,05-17-2024,BENCHPRESS,4.0,,79.7,0.62,594.0,176.0,130,,STRENGTH,5.0,WEIGHT
U0435,2024-03-03,YOGA,,,,0.95,507.0,146.0,168,1.08,MOBILITY,3.0,NW
U0885,2024-11-11,SQUAT,3.0,8.0,134.1,1.42,,140.0,162,1.19,STRENGTH,4.0,WEIGHT
U0358,2024-12-08,SQUAT,,12.0,66.3,1.03,194.0,126.0,149,0.99,STRENGTH,7.0,WEIGHT
 U1116 ,2024-10-19,BENCHPRESS,5.0,9.0,40.2,0.47,481.0,127.0,152,,STRENGTH,3.0,WEIGHT
U0109,2024-01-14,DEADLIFT,5.0,5.0,65.9,0.82,331.0,125.0,135,,STRENGTH,5.0,WEIGHT
U0349,2024-05-11,DEADLIFT,5.0,12.0,67.1,0.36,313.0,161.0,171,0.96,STRENGTH,3.0,WEIGHT
U0559,12/06/2024,CYCLING,,,,1.11,185.0,116.0,138,0.94,CARDIO,10.0,NW
 U1130 ,2024/10/10,CYCLING,,,,1.0,380.0,162.0,175,0.56,CARDIO,4.0,NW
U0965,2024-03-07,ROW,,,,0.41,539.0,123.0,138,0.62,CARDIO,10.0,NW
U0174,2024-11-17,RUNNING,,,,0.5,527.0,128.0,150,1.13,CARDIO,5.0,NW
U0706,03/03/2024,DEADLIFT,3.0,11.0,108.3,1.0,478.0,109.0,121,0.81,STRENGTH,8.0,WEIGHT
U0530,2024-10-23,YOGA,,,,0.83,461.0,121.0,134,,MOBILITY,7.0,NW
U0128,2024-01-15,HIIT,,,,0.48,556.0,114.0,134,0.42,HIIT,1.0,NW
U0275,2024-01-26,YOGA,,,,1.38,388.0,101.0,126,0.78,MOBILITY,5.0,NW
U1126,2024-06-15,ROW,,,,1.46,465.0,142.0,157,0.87,CARDIO,6.0,NW
U0848,2024-07-16,CYCLING,,,,0.73,174.0,120.0,144,0.55,CARDIO,4.0,NW
U0353,2024-10-30,DEADLIFT,5.0,6.0,70.4,1.49,520.0,115.0,128,0.47,STRENGTH,5.0,WEIGHT
U0229,2024-11-23,YOGA,,,,1.38,174.0,122.0,141,1.18,MOBILITY,2.0,NW
U1090,2024-02-09,YOGA,,,,1.0,338.0,119.0,134,1.16,MOBILITY,4.0,NW
U0167,2024-02-29,CYCLING,,,,1.26,334.0,108.0,122,0.54,CARDIO,3.0,NW
U0607,2024-01-29,ROW,,,,1.0,166.0,145.0,158,0.6,CARDIO,6.0,NW
U0441,2024-10-22,ROW,,,,1.17,528.0,150.0,161,0.88,CARDIO,5.0,NW
U0363,2024-09-03,YOGA,,,,1.02,269.0,125.0,140,0.5,MOBILITY,8.0,NW
U0166,2024-02-21,CYCLING,,,,1.31,322.0,129.0,149,0.34,ENDURANCE,5.0,NW
U0425,2024-01-31,DEADLIFT,3.0,8.0,125.6,1.16,427.0,112.0,127,0.89,STRENGTH,4.0,WEIGHT
U0570,2024-03-27,BENCHPRESS,3.0,5.0,90.6,0.52,187.0,147.0,158,0.73,STRENGTH,2.0,WEIGHT
U0447,2024-02-21,DEADLIFT,3.0,9.0,101.2,0.68,583.0,107.0,119,0.85,STRENGTH,4.0,WEIGHT
U0311,2024-08-30,CYCLING,,,,0.45,285.0,160.0,177,0.72,CARDIO,5.0,NW
U0975,2024-08-24,RUN,,,,0.91,362.0,153.0,165,1.11,CARDIO,9.0,NW
U1008,09-27-2024,YOGA,,,,1.12,182.0,146.0,167,0.63,MOBILITY,2.0,NW
U0970,2024-09-01,ROW,,,,0.47,433.0,97.0,118,0.53,CARDIO,8.0,NW
U0667,2024-03-29,RUNNING,,,,1.01,240.0,129.0,154,0.52,CARDIO,5.0,NW
U0004,2024-02-26,HIIT,,,,0.45,569.0,151.0,162,0.94,HIIT,5.0,NW
U0723,2024-05-09,SQUAT,3.0,10.0,73.8,0.45,345.0,140.0,159,1.14,STRENGTH,7.0,WEIGHT
U0850,2024/09/18,DEADLIFT,3.0,11.0,136.4,0.63,297.0,137.0,151,0.85,STRENGTH,5.0,WEIGHT
U0283,2024-06-15,CYCLING,,,,1.48,155.0,97.0,122,0.62,CARDIO,10.0,NW
U0255,2024-10-27,BENCHPRESS,3.0,5.0,42.3,1.24,494.0,143.0,167,0.36,STRENGTH,4.0,WEIGHT
U0727,2024-06-13,ROW,,,,1.23,223.0,157.0,180,0.38,CARDIO,5.0,NW
U0104,2024-07-09,RUNNING,,,,1.49,592.0,109.0,125,,CARDIO,2.0,NW
U0878,2024-07-23,DEADLIFT,4.0,10.0,49.3,1.0,207.0,,145,0.98,STRENGTH,6.0,WEIGHT
U0049,2024-07-20,DEADLIFT,5.0,7.0,128.4,1.0,530.0,150.0,169,1.11,STRENGTH,10.0,WEIGHT
U0808,2024-07-11,CYCLING,,,,0.43,438.0,137.0,151,0.46,CARDIO,5.0,NW
U0272,2024-07-19,CYCLING,,,,1.21,419.0,98.0,113,1.02,CARDIO,10.0,NW
U1121,2024-03-11,DEADLIFT,3.0,11.0,90.0,0.56,342.0,90.0,102,0.4,STRENGTH,10.0,WEIGHT
U1183,2024-03-20,RUNNING,,,,0.69,266.0,97.0,111,0.7,CARDIO,5.0,NW
U0255,2024-05-07,ROW,,,,0.86,296.0,129.0,142,0.74,CARDIO,5.0,NW
