user_id,date,exercise,sets,reps,weight_kg,session_duration_hr,calories_burned,avg_bpm,max_bpm,water_intake_l,workout_type,workout_difficulty
U0611,2024-10-19,Deadlift,4.0,11.0,106.9,0.43,445.0,108.0,128,0.79,Strength,2.0
 U0210 ,2024-03-20,Squat,5.0,10.0,95.2,0.37,517.0,124.0,146,0.69,Strength,3 out of 10
U0336,2024-12-15,Rowing,,,,1.36,482.0,96.0,121,0.61,Cardio,8 out of 10
U1075,2024-02-11,High Intensity Interval Training,,,,0.53,553.0,101.0,124,0.6,HIIT,1
U0487,2024-01-04,HIIT,,,,0.99,572.0,91.0,102,,HIIT,N/A
U0275,2024-11-19,Deadlift,4.0,12.0,,1.34,211.0,125.0,139,0.69,Strength,10 out of 10
U0350,2024-01-11,Squat,,7.0,139.0,0.65,231.0,148.0,164,0.53,Strength,N/A
U0251,2024/06/17,HIIT,,,,1.33,158.0,163.0,176,0.65,HIIT,3 out of 10
U0397,2024-02-19,Bench Press,,12.0,129.1,1.08,178.0,132.0,146,1.13,Strength,2 out of 10
U0855,2024-05-10,HIIT,,,,1.29,173.0,118.0,142,0.82,HIIT,9 out of 10
U0561,2024-01-30,Rowing,,,,0.64,392.0,145.0,169,0.41,Cardio,
U0129,2024-11-25,Rowing,,,,0.34,513.0,96.0,107,0.58,Cardio,8-10
U0424,2024-03-14,Deadlift,3.0,9.0,79.1,1.2,291.0,99.0,109,0.96,Strength,2
U0230,2024-11-18,Squat,5.0,6.0,58.7,1.2,513.0,98.0,109,0.52,Strength,4 out of 10
U0849,2024-08-11,YOGA,,,,1.22,161.0,163.0,182,0.56,Mobility,
 U0062 ,2024-01-21,hiit,,,,0.99,482.0,153.0,178,1.1,HIIT,5 out of 10
U0562,2024-09-15,HIIT,,,,1.29,558.0,114.0,135,0.92,HIIT,2-10
U1025,2024-06-20,HIIT,,,,1.24,204.0,140.0,157,0.37,HIIT,10 (hard)
U0293,2024-06-24,Bench Press,5.0,8.0,83.8,1.03,577.0,139.0,163,0.82,Strength,7 out of 10
U0874,2024-09-05,HIIT,,,,0.94,303.0,157.0,178,0.89,HIIT,N/A
U1137,2024-01-18,Running,,,,0.81,586.0,104.0,123,0.31,Cardio,N/A
U0408,2024-02-03,HIIT,,,,1.47,264.0,90.0,106,0.42,HIIT,8/10
U1032,2024-03-11,Yoga,,,,0.57,296.0,110.0,133,0.35,Mobility,4
U1146,2024-01-02,Bench Press,3.0,,54.3,1.1,543.0,142.0,153,0.33,Strength,1
U1012,2024-02-28,Cycling,,,,1.06,593.0,158.0,181,0.98,Cardio,9
U0072,12-11-2024,Running,,,,0.4,543.0,103.0,120,0.82, Cardio ,10 (hard)
U0639,2024-10-30,Deadlift,3.0,8.0,124.3,,543.0,116.0,134,0.45,Strength,7 (easy)
U0030,2024/03/15,ROW,,,,1.25,471.0,97.0,120,1.01,Cardio,1-10
U0582,2024-12-01,Running,,,,1.4,430.0,146.0,164,1.19,Cardio,5/10
U1095,2024-06-12,Squat,,5.0,51.6,0.54,177.0,202.0,143,0.46,strength,
U1065,2024-04-10,Yoga,,,,0.88,254.0,94.0,105,0.59,Mobility,10/10
U0441,2024-06-11,BENCH PRESS,3.0,9.0,74.7,0.58,242.0,160.0,183,0.93,Strength,
U1131,2024-07-26,Cycling,,,,1.49,348.0,102.0,118,0.58,Cardio, 3
U0108,2024-09-20,Squat,4.0,6.0,,0.62,432.0,114.0,126,0.69,Strength,7 
U0080,2024-05-10,Rowing,,,,0.54,441.0,137.0,159,0.78, Cardio ,9
U0637,2024-07-20,Bench Press,4.0,7.0,94.5,0.6,342.0,111.0,125,0.85,Strength,five
U1182,2024-10-15,Running,,,,1.14,399.0,99.0,118,0.74,CARDIO,6 (easy)
U0748,2024-05-27,Deadlift,5.0,12.0,76.4,0.61,590.0,163.0,183,0.86,Strength,N/A
U0351,2024-07-28,Yoga,,,,0.37,579.0,98.0,120,0.95,Mobility,5
U0045,2024-08-05,HIIT,,,,1.22,500.0,103.0,116,0.72,HIIT, 3
U1007,2024-03-22,Rowing,,,,0.97,535.0,109.0,120,1.14,cardio,3 
U0335,2024-11-15,Yoga,,,,0.43,381.0,92.0,103,0.42,Mobility, 9
U0951,2024-01-09,Bike,,,,1.39,415.0,133.0,152,0.94,Cardio,3
U0140,2024-09-29,Squat,5.0,6.0,57.7,1.32,439.0,101.0,119,1.18,Strength, 9
U0025,2024-10-05,Running,,,,1.04,517.0,123.0,135,0.78,Cardio,
U0292,2024-12-29,Squat,3.0,10.0,56.6,0.56,1559.0,125.0,149,0.57,Strength,Level 9
U1153,2024-01-02,Bench Press,4.0,11.0,51.0,0.34,517.0,164.0,177,0.66,Strength,1 
U0513,2024-06-04,Cycling,,,,1.27,287.0,128.0,139,0.37,Cardio,2 
U0865,2024-04-06,Cycling,,,,1.24,520.0,113.0,137,0.31,Cardio,6/10
U0473,2024-06-18,Running,,,,0.56,378.0,153.0,175,,Cardio,
 U0921 ,2024-05-21,Rowing,,,,0.57,558.0,134.0,151,0.42,Cardio,
U0496,2024-07-27,Running,,,,0.42,169.0,145.0,155,0.3,Cardio,8 out of 10
U0652,2024-09-11,Yoga,,,,1.33,,,180,0.42,Mobility,6
U0902,2024-01-23,Deadlift,3.0,7.0,67.7,0.65,365.0,126.0,137,0.6,Strength,1-10
U0777,2024-11-16,Running,,,,0.45,558.0,133.0,143,0.86,Cardio,3 
U1026,2024-03-18,Bench Press,5.0,11.0,80.5,1.08,345.0,94.0,110,,Strength,4/10
U0949,2024-09-21,Running,,,,1.04,536.0,104.0,129,0.99,Cardio,9 out of 10
U0058,2024-12-08,Rowing,,,,1.28,359.0,117.0,139,0.82,Cardio,
U0735,2024-03-03,Bench Press,3.0,10.0,89.1,1.0,586.0,96.0,106,0.67,Strength, 5
U0889,2024-01-04,Yoga,,,,0.35,588.0,154.0,172,0.99,Mobility,8-10
U1178,2024-01-01,cycling,,,,1.36,375.0,126.0,141,0.7,Cardio,3
U0756,2024-05-03,Rowing,,,,0.78,557.0,127.0,146,,Cardio,N/A
U0362,2024-07-02,Yoga,,,,1.34,530.0,129.0,153,0.36,Mobility,2 
U0307,2024-04-02,Squat,5.0,12.0,88.8,1.08,434.0,122.0,136,0.56,Strength,7 out of 10
U0648,2024-07-25,Rowing,,,,1.49,238.0,113.0,137,0.58, Cardio ,
U0294,2024-06-10,Bench Press,4.0,9.0,61.2,0.89,199.0,,126,0.48,Strength,4/10
U0616,2024-01-23,deadlift,,5.0,121.1,1.32,577.0,99.0,115,0.98,Strength,10/10
U0499,2024-08-19, Rowing ,,,,1.3,443.0,154.0,167,0.89,Cardio,
U0724,2024-09-27,Dead Lift,4.0,9.0,122.8,0.4,512.0,152.0,165,0.52,strength,9/10
U1167,2024-06-28,running,,,,1.33,350.0,143.0,161,0.97,CARDIO,4
U0007,2024-10-06,Yoga,,,,0.32,482.0,162.0,172,0.92,Mobility,7/10
U1143,2024-06-27,Cycling,,,,1.38,498.0,115.0,132,,Cardio,2 (easy)
U0050,2024-04-30,Rowing,,,,1.39,551.0,155.0,176,1.04,Cardio,1.0
 U1014 ,2024-07-03,Cycling,,,,0.75,587.0,105.0,126,0.51,Endurance,
U0932,2024-04-07,Cycling,,,,0.67,179.0,145.0,164,0.72,Cardio,
U0360,2024-02-23,Cycling,,,,0.92,340.0,160.0,185,0.85,Cardio,3 
U1150,2024-08-17,Cycling,,,,0.68,152.0,128.0,152,0.96,Cardio,5.0
U0115,2024-09-14,H.I.I.T,,,,0.59,557.0,135.0,159,,HIIT ,2-10
U0029,2024-11-03,Yoga,,,,0.89,389.0,147.0,157,0.55,Mobility,9-10
U0156,2024-07-11,Deadlift,5.0,5.0,116.4,0.65,271.0,164.0,186,0.94,Strength,
 U1121 ,2024-08-15,Running,,,,0.64,269.0,111.0,127,,Cardio,2.0
U1105,2024-03-29,Cycling,,,,0.88,477.0,90.0,111,0.53,Cardio,7
U0008,2024-11-09,Running,,,,0.7,243.0,115.0,133,0.38, Cardio ,1/10
U0219,2024-03-19,Cycling,,,,1.21,152.0,112.0,124,0.62,Cardio,8 out of 10
U0858,2024-11-03,Cycling,,,,0.51,276.0,112.0,123,0.71,Cardio,6
U1193,05-17-2024,Bench Press,4.0,,79.7,0.62,594.0,176.0,130,,Strength,
U0435,2024-03-03,Yoga,,,,0.95,507.0,146.0,168,1.08,mobility,3.0
U0885,2024-11-11,Squat,3.0,8.0,134.1,1.42,,140.0,162,1.19,Strength,4.0
U0358,2024-12-08,Squat,,12.0,66.3,1.03,194.0,126.0,149,0.99,Strength,7
 U1116 ,2024-10-19,Bench Press,5.0,9.0,40.2,0.47,481.0,127.0,152,,strength, 3
U0109,2024-01-14,Deadlift,5.0,5.0,65.9,0.82,331.0,125.0,135,, Strength ,5 out of 10
U0349,2024-05-11,Deadlift,5.0,12.0,67.1,0.36,313.0,161.0,171,0.96,Strength,3 
U0559,12/06/2024,Cycling,,,,1.11,185.0,116.0,138,0.94,Cardio,10 
 U1130 ,2024/10/10,Cycling,,,,,380.0,162.0,175,0.56,Cardio,4-10
U0965,2024-03-07,Rowing,,,,0.41,539.0,123.0,138,0.62,Cardio,10-10
U0174,2024-11-17,Running,,,,0.5,527.0,128.0,150,1.13,Cardio,5 out of 10
U0706,03/03/2024,Deadlift,3.0,11.0,108.3,,478.0,109.0,121,0.81,Str,8
U0530,2024-10-23,Yoga,,,,0.83,461.0,121.0,134,,Mobility,7/10
U0128,2024-01-15,HIIT,,,,0.48,556.0,114.0,134,0.42,HIIT,1
U0275,2024-01-26,Yoga,,,,1.38,388.0,101.0,126,0.78,Mobility,N/A
U1126,2024-06-15,Rowing,,,,1.46,465.0,142.0,157,0.87,Cardio,6-10
U0848,2024-07-16,Cycling,,,,0.73,174.0,120.0,144,0.55,Cardio,4/10
U0353,2024-10-30,Deadlift,5.0,6.0,70.4,1.49,520.0,115.0,128,0.47,Strength, 5
U0229,2024-11-23,Yoga,,,,1.38,174.0,122.0,141,1.18,Mobility,2/10
U1090,2024-02-09,Yoga,,,,,338.0,119.0,134,1.16,Mobility,4/10
U0167,2024-02-29,Cycling,,,,1.26,334.0,108.0,122,0.54,Cardio, 3
U0607,2024-01-29,Rowing,,,,,166.0,145.0,158,0.6,Cardio,6
U0441,2024-10-22,Rowing,,,,1.17,528.0,150.0,161,0.88,Cardio,
U0363,2024-09-03,Yoga,,,,1.02,269.0,125.0,140,0.5,Mobility,Level 8
U0166,2024-02-21,CYCLING,,,,1.31,322.0,129.0,149,0.34,Endurance,
U0425,2024-01-31,Deadlift,3.0,8.0,125.6,1.16,427.0,112.0,127,0.89,Strength, 4
U0570,2024-03-27,Bench Press,3.0,5.0,90.6,0.52,187.0,147.0,158,0.73,strength,2 (easy)
U0447,2024-02-21,Deadlift,3.0,9.0,101.2,0.68,583.0,107.0,119,0.85,Strength,4/10
U0311,2024-08-30,Bike,,,,0.45,285.0,160.0,177,0.72,Cardio,Level 5
U0975,2024-08-24, RUN ,,,,0.91,362.0,153.0,165,1.11,Cardio,9/10
U1008,09-27-2024,Yoga,,,,1.12,182.0,146.0,167,0.63,Mobility,2
U0970,2024-09-01,Rowing,,,,0.47,433.0,97.0,118,0.53,Cardio,8/10
U0667,2024-03-29,Running,,,,1.01,240.0,129.0,154,0.52,Cardio,
U0004,2024-02-26,HIIT,,,,0.45,569.0,151.0,162,0.94,HIIT,5-10
U0723,2024-05-09,Squat,3.0,10.0,73.8,0.45,345.0,140.0,159,1.14,Strength,7 (easy)
U0850,2024/09/18,Deadlift,3.0,11.0,136.4,0.63,297.0,137.0,151,0.85,Strength,
U0283,2024-06-15,Cycling,,,,1.48,155.0,97.0,122,0.62,Cardio,10 out of 10
U0255,2024-10-27,Bench Press,3.0,5.0,42.3,1.24,494.0,143.0,167,0.36,Strength,4-10
U0727,2024-06-13,Rowing,,,,1.23,223.0,157.0,180,0.38,Cardio,5 (easy)
U0104,2024-07-09,Running,,,,1.49,592.0,109.0,125,,Cardio,2/10
U0878,2024-07-23,Deadlift,4.0,10.0,49.3,1.0,207.0,,145,0.98,Strength,6
U0049,2024-07-20,Deadlift,5.0,7.0,128.4,,530.0,150.0,169,1.11,Strength,10-10
U0808,2024-07-11,Cycling,,,,0.43,438.0,137.0,151,0.46,Cardio,5
U0272,2024-07-19,Cycling,,,,1.21,419.0,98.0,113,1.02,Cardio,10/10
U1121,2024-03-11,Deadlift,3.0,11.0,90.0,0.56,342.0,90.0,102,0.4,Strength,10-10
U1183,2024-03-20,Running,,,,0.69,266.0,97.0,111,0.7,Cardio,5.0
U0255,2024-05-07,ROW,,,,0.86,296.0,129.0,142,0.74,Cardio,
U0937,2024-07-10,Yoga,,,,1.17,435.0,146.0,169,0.57,Mobility,5-10
U0543,2024-02-14,Cycling,,,,1.0,278.0,117.0,138,0.55,Cardio,
U0802,2024-03-09,Jogging,,,,0.6,184.0,155.0,179,0.46,Cardio,Level 10
U0462,2024-11-26,Running,,,,0.87,370.0,160.0,185,0.7,Cardio, 8
U0170,2024-10-17,Rowing,,,,0.54,496.0,136.0,149,0.66,Endurance,Level 4
U0829,2024-04-12,Cycling,,,,0.88,386.0,133.0,158,1.11,Cardio,4/10
U0017,2024-02-11,Deadlift,4.0,6.0,67.3,1.33,157.0,91.0,116,1.02,Strength,N/A
U0455,2024-03-03,Deadlift,,5.0,,0.37,553.0,134.0,144,1.18,Strength,Level 8
 U0450 ,2024-12-19,HIIT,,,,1.04,150.0,91.0,105,0.97,HIIT,1 
U0592,2024-03-20,Squat,5.0,9.0,47.6,1.3,306.0,116.0,141,0.69,STRENGTH, 2
U1148,2024-07-28,Yoga,,,,1.23,307.0,132.0,142,0.49,Mobility,
U0020,2024-12-06,Yoga,,,,0.87,192.0,112.0,131,0.36,Mobility,
U1108,2024-05-01,Rowing,,,,0.45,287.0,130.0,146,0.62,Cardio,N/A
U0802,2024-09-21,Deadlift,5.0,5.0,96.0,1.27,399.0,94.0,117,0.3,Strength,7 (easy)
U0006,2024-06-29,HIIT,,,,0.93,407.0,153.0,177,0.58,HIIT,
U1027,2024-12-02,High Intensity Interval Training,,,,1.25,592.0,95.0,113,0.5,HIIT,N/A
 U0665 ,20/06/2024,Rowing,,,,0.73,306.0,121.0,139,0.51,Cardio,4.0
U1149,2024-10-29,Yoga,,,,6.64,353.0,101.0,126,0.55,Mobility,8 
U0582,02-22-2024,Deadlift,4.0,11.0,112.7,0.47,219.0,155.0,175,0.53,Strength,
U0293,2024-06-12,Yoga,,,,1.1,451.0,91.0,104,1.07,Mobility,2.0
U0872,2024-03-19,Cycling,,,,0.66,364.0,121.0,131,0.67,Cardio,
U0372,2024-05-13,Squat,3.0,10.0,58.4,0.37,239.0,119.0,143,0.96,Strength,2-10
U0139,2024-08-05,Rowing,,,,1.14,466.0,137.0,155,0.5,Cardio, 8
U1087,2024-03-11,Yoga,,,,0.95,513.0,132.0,156,0.51,Mobility,7/10
U1184,2024-04-05, Running ,,,,0.59,597.0,93.0,106,0.79,Cardio,7
 U0246 ,2024-12-03,Running,,,,1.14,336.0,104.0,128,0.82,Cardio,9 out of 10
U0882,2024-06-14,Rowing,,,,0.96,445.0,132.0,157,0.68,Cardio,3-10
U0080,2024-04-01,hiit,,,,0.73,154.0,92.0,112,0.76,HIIT,3-10
U0528,2024-09-17,Yoga,,,,0.38,514.0,151.0,170,0.42,Mobility,
U0723,2024-12-05,Yoga,,,,1.21,471.0,162.0,179,0.82,Mobility,6
U0885,2024-02-12,Squat,4.0,6.0,54.5,0.45,316.0,145.0,169,0.73,Strength,5 out of 10
U0238,2024-08-08,Cycling,,,,0.52,278.0,126.0,139,,Cardio,
U0261,2024-05-02,Running,,,,1.0,373.0,122.0,133,1.09,Cardio, 8
U0148,2024-06-15,Rowing,,,,1.42,563.0,141.0,152,0.81,Cardio, 1
U0273,2024-11-24,Squat,4.0,5.0,59.9,1.33,426.0,102.0,119,1.08, Strength ,Level 2
U0839,2024-02-01,Running,,,,0.9,500.0,93.0,117,0.69,Cardio,2 (easy)
U0435,2024-08-13,Cycling,,,,0.71,174.0,124.0,149,1.02,Cardio,
U0161,2024/09/24,Rowing,,,,0.99,565.0,140.0,151,1.03,Cardio,10
U0655,10-30-2024,Yoga,,,,1.22,356.0,118.0,130,,MOBILITY,2-10
U0696,2024-02-16,HIIT,,,,0.45,181.0,152.0,176,0.61,HIIT,9-10
U1175,2024-06-25,HIIT,,,,0.36,548.0,134.0,158,0.52,HIIT,3 out of 10
U0238,2024-12-28,Yoga,,,,0.67,344.0,116.0,130,1.0,Mobility,10
U0320,2024-01-30,Running,,,,1.23,261.0,157.0,179,0.59,Cardio,
