user_id,age,gender,height_m,weight_kg,experience_level,workout_frequency_days_week,fat_percentage
U0089,46,female,1.63,55.4,Advanced,2,21.7
U0090,48,Male,1.67,88.2,Advanced,4,16.6
 U0091 ,30,male,1.74,74.2,Advanced,2,27.4
U0092,58,M,1.89,75.3,intermediate,5,27.9
U0093,34,Male,1.73,65.2,Intermediate,3,19.9
U0094,45,Male,1.65,47.8,Advanced,4,57.0
U0095,56,Male,1.75,79.2,Beginner,5,7.5
U0096,33,Female,2.3618582305785036,92.0,INT,2,18.7
U0097,34,Female,1.66,70.2,Advanced,3,8.8
U0098,59,FEMALE,1.7,71.3,Beginner,5,21.4
 U0099 ,45,Female,1.83,69.9,Intermediate,3,
U0100,32,Female,1.79,,Intermediate,3,29.6
U0101,39,Male,1.7,50.0,Advanced,4,11.9
U0102,50,Female,1.78,85.8,Beginer,4,14.3
U0103,52,Female,1.81,63.6, Advanced ,2,26.9
U0104,29,Female,1.91,72.6,Intermediate,2,36.0
U0105,51,male,1.85,63.2,Advanced,2,17.6
U0106,40,Male,1.76,64.5, Intermediate ,3,16.8
U0107,23,Male,1.57,70.4,Beginner,2,31.5
U0108,23,female,1.8,,Beginner,2,16.1
U0109,53,Male,1.92,82.8,Beginner,5,
U0110,22,Female,1.71,79.5,Advanced,3,26.3
U0111,50,Female,1.69,97.1,Advanced,2,37.0
U0112,25,Female,1.69,,Intermediate,2,17.7
U0113,41, Male ,,71.2,Beginner,5,23.7
U0114,24,Female,1.65,,Advanced,3,22.4
U0115,23,Male,1.79,98.1,Advanced,3,22.7
U0116,39, Female ,1.82,58.5,Advanced,3,
U0117,24,Female,1.74,74.9, Intermediate ,4,12.6
U0118,50,Male,1.78,69.2,Beginner,2,7.4
U0119,55,Female,1.84,83.4,Beginner,3,25.0
U0120,46,Male,1.7,78.3,Advanced,3,14.1
U0121,54,Male,1.59,76.2,Intermediate,3,19.6
U0122,38,Female,1.72,76.2, Intermediate ,4,20.2
 U0123 ,19,Male,1.83,92.0,intermediate,5,20.9
U0124,51,Female,1.96,78.0,INT,4,15.8
U0125,36,Male,1.6,79.1,Advanced,2,13.8
U0126,20,Male,1.68,81.8,Advanced,2,20.2
U0127,59,male,1.7,64.0,Intermediate,2,18.3
U0128,36, Female ,1.77,89.3,Beginner,3,19.6
 U0129 ,37, Male ,1.88,56.3,INT,5,19.2
 U0130 ,59, Female ,1.71,74.3,Intermediate,2,
U0131,51,F,1.56,75.8,Intermediate,2,11.6
U0132,46,Male,1.75,72.4,Intermediate,4,9.4
U0133,22,FEMALE,,70.7,advanced,2,27.8
U0134,36,Female,1.88,74.8,Intermediate,2,22.1
U0135,22,Female,1.67,77.3,Beginner,2,33.8
U0136,47,Female,1.67,80.8,intermediate,4,
U0137,42,Female,1.6,73.6,ADV,4,19.5
U0138,52,Male,1.64,59.9,Advanced,2,20.1
U0139,34,Male,,82.0,Advanced,4,46.0
U0140,22,Male,1.88,74.7,Intermediate,4,14.7
U0141,58,Male,1.51,80.4,beginner,2,19.2
U0142,23,Female,1.76,90.1,INT,5,25.7
 U0143 ,23,female,,67.0,Beginner,5,
U0144,34,Male,,78.9,Beginner,2,22.1
U0145,23,Male,1.71,64.9,Intermediate,4,23.9
U0146,46,Male,1.66,82.1,Intermediate,3,11.2
U0147,20,Female,1.65,67.9,expert,3,15.5
U0148,41,Male,1.5,62.3,Advanced,5,24.6
U0149,20,MALE,1.79,75.7,Beginer,4,18.9
U0150,37,Male,1.9,61.3,Beginner,5,11.9
U0151,31,Male,1.68,83.9,ADV,5,16.8
U0152,39,Male,1.68,67.1,Advanced,4,68.0
U0153,54,Female,1.64,82.0,Beginner,2,18.3
U0154,50,Female,1.49,,Advanced,3,9.3
U0155,22,Male,1.71,77.4,Intermediate,3,15.5
U0156,32,Female,1.72,,Beginner,3,22.7
 U0157 ,41, MALE ,1.65,91.3,Advanced,3,8.5
U0158,42,Female,1.78,80.2,Intermediate,4,17.4
U0159,37,Male,1.87,75.5,Beginner,3,14.2
U0160,38,MALE,1.7,58.9,Beginer,3,13.7
U0161,32,Male,1.72,88.0,Advanced,4,13.3
U0162,42,Female,,,Intermediate,2,19.5
U0163,46,Male,1.66,70.9,advanced,3,18.4
U0164,49,Female,1.75,84.9,Intermediate,3,13.7
U0165,35,Female,1.76,76.5,Advanced,2,20.7
U0166,19, Female ,1.72,62.8,Advanced,5,20.5
U0167,42,FEMALE,1.54,91.5, B ,3,30.7
U0168,40,Male,1.76,86.7,Intermediate,3,32.3
U0169,30,Male,2.2174325445164342,57.6, Beginner ,4,19.8
U0170,42,Male,1.84,90.7,Intermediate,4,18.7
U0171,36,Male,1.67,79.5, Intermediate ,2,19.4
U0172,36,Female,1.8,74.0,beginner,3,21.1
U0173,35,Female,1.64,71.7,Intermediate,5,
U0174,31,Male,1.75,95.6,Beginner,2,14.8
U0175,25, Male ,1.61,62.3,Intermediate,2,21.2
 U0176 ,36,M,1.75,61.8,Intermediate,4,27.0
U0177,19,Female,1.63,56.7,Advanced,4,18.7
U0178,32,male,1.58,66.6,Intermediate,5,13.4
U0179,41,Female,1.7,72.9,Advanced,5,
U0180,23, Female ,1.57,66.0,Advanced,4,22.6
U0181,30,Male,1.84,76.4, Advanced ,3,25.2
U0182,18,Male,1.69,59.9,Intermediate,3,20.9
U0183,24,Female,1.73,66.0,Intermediate,2,30.2
U0184,56,Male,1.62,73.8,Intermediate,5,17.9
U0185,29,Male,1.68,88.7,Intermediate,2,23.2
U0186,54,Female,1.59,51.0,Beginner,3,21.6
U0187,19,Male,1.69,71.2,Advanced,4,16.6
 U0188 ,57,Male,1.87,71.1,Advanced,5,27.1
U0189,59, Female ,1.85,75.5,Intermediate,3,20.9
U0190,38, Female ,1.52,86.1,Beginner,3,15.1
U0191,36,M,1.6,90.5,Advanced,3,22.9
U0192,44,Female,1.56,73.6,Advanced,2,31.3
 U0193 ,40,Female,2.301536944989198,77.4,Beginner,3,20.2
U0194,54,F,1.91,68.3,expert,5,11.4
U0195,35,Male,1.64,70.6,Advanced,3,22.1
U0196,45,Female,2.376137182161094,85.4,beginner,4,23.0
U0197,50,Male,1.65,70.3,Intermediate,3,15.3
U0198,18,Male,1.82,68.0,Advanced,2,14.8
U0199,38,MALE,1.96,91.0,Advanced,2,26.1
U0200,36,Female,1.86,,Beginner,5,22.9
U0201,31,Male,1.71,,Intermediate,4,15.0
U0202,34,Female,1.62,72.0,Beginner,4,19.5
U0203,47,Male,1.52,75.2, Beginner ,2,34.9
U0204,45,Male,1.79,83.3, Advanced ,5,
U0205,23, Male ,1.68,,Intermediate,4,17.6
U0206,40,Female,1.63,, Intermediate ,5,29.3
U0207,36,MALE,1.57,90.2,Advanced,2,11.8
U0208,19,F,1.7,55.8,Advanced,5,27.2
 U0209 ,49,male,1.7,82.1,Beginner,2,18.5
U0210,23,Female,1.59,74.0,Advanced,3,12.6
U0211,46,Male,1.82,65.1,Intermediate,3,15.6
U0212,48,Female,1.87,80.0,INT,3,21.6
U0213,48,Male,1.59,99.7,Beginner,2,10.8
U0214,28,Male,1.78,51.3,Beginner,3,19.7
U0215,57,Male,1.74,78.6,Beginner,4,16.0
U0216,50,Female,1.79,76.0,ADV,3,17.8
U0217,48,Male,1.82,62.8,Beginner,5,
U0218,36,Male,1.63,77.2,Advanced,4,19.6
U0219,43,Male,1.68,88.5,Intermediate,4,18.7
U0220,43,Male,1.74,79.5,Advanced,5,10.7
U0221,52,Male,1.84,49.1,Beginner,5,23.2
U0222,25,Female,1.73,83.5,Advanced,4,20.1
U0223,42,Female,1.72,69.2,Beginner,3,27.6
U0224,45,Female,1.76,93.6,Intermediate,2,
U0225,27,FEMALE,1.67,71.4,Beginer,2,10.6
U0226,38,Female,1.83,61.9,Intermediate,4,30.1
U0227,51,Male,1.68,86.8, Beginner ,4,19.7
U0228,54,Male,1.66,73.5,Intermediate,4,31.5
U0229,36, Male ,1.75,75.8,Advanced,5,18.8
U0230,44,Male,1.69,62.7,Beginner,3,17.8
U0231,53,Male,1.78,76.1,Advanced,5,
U0232,40,Female,1.73,79.7,Intermediate,2,17.3
U0233,51,Female,1.73,,Advanced,4,21.3
U0234,50,Male,2.05,50.0,Intermediate,5,21.3
U0235,33,Male,1.64,,Beginner,3,13.7
U0236,40,Female,1.59,75.4,Advanced,3,23.6
U0237,34,Male,1.72,77.5,Beginer,5,15.3
U0238,22, Male ,2.2314939147688215,75.6,Beginner,4,23.6
U0239,51,Female,1.78,86.6,Intermediate,3,16.0
U0240,55,female,1.61,72.9, Beginner ,3,19.2
U0241,56,Female,1.84,73.6,Advanced,3,18.0
U0242,26,Male,1.6,85.6,Intermediate,2,15.8
U0243,23,Female,1.71,91.0, Advanced ,5,20.4
U0244,31,Male,1.85,64.4,Beginner,2,25.9
U0245,41,Male,1.75,77.1,Intermediate,5,29.9
U0246,55,Female,1.84,72.5,Intermediate,3,26.2
U0247,26,Male,1.63,79.1,Intermediate,3,16.3
U0248,28,Female,1.65,83.7, Beginner ,3,24.5
U0249,37,Female,1.63,61.5,Advanced,3,15.6
U0250,29,MALE,1.73,88.0,Advanced,2,21.5
U0251,54,Female,1.69,54.5,Intermediate,4,21.3
U0252,22,Male,1.86,76.0, Advanced ,5,22.8
U0253,22,Female,1.68,78.0,Beginner,3,23.2
U0254,51,Female,1.78,57.8,Advanced,4,23.3
U0255,22,Male,1.73,77.7,advanced,5,22.8
U0256,34,Male,1.85,63.1,Intermediate,4,18.5
U0257,39,Male,1.85,86.9,Intermediate,3,
U0258,18,Male,1.55,93.2,Beginner,3,25.0
U0259,18,Male,1.68,62.0,Advanced,3,19.7
 U0260 ,52,Male,1.63,75.9,Intermediate,2,35.2
U0261,47,Male,1.7,58.7,intermediate,5,32.7
U0262,55,Male,1.63,70.2,Beginner,4,19.0
U0263,23,Female,1.61,86.2,Advanced,3,23.3
U0264,27,Female,1.6,86.4,Beginner,5,21.9
U0265,44,Male,1.61,99.0,Advanced,4,22.0
U0266,44, Female ,1.69,72.7,Intermediate,2,21.0
U0267,44,Male,1.74,58.7,Advanced,5,25.6
U0268,25,female,1.69,81.4,Beginner,2,15.4
U0269,39,Male,1.81,65.2,Advanced,3,6.7
U0270,55, Female ,1.75,73.8,Advanced,4,20.0
U0271,41, Male ,1.63,78.2,Beginner,5,24.7
U0272,24, Female ,1.66,81.4,Advanced,2,17.6
U0273,31,Male,1.59,89.6,Beginner,5,14.6
U0274,28,female,1.68,73.2,Intermediate,4,27.3
U0275,27,Female,1.63,62.9,Intermediate,2,17.5
U0276,31,Female,1.76,55.7,beginner,2,17.7
U0277,29,Female,1.58,60.9,Beginner,5,11.9
U0278,51, Male ,1.69,73.5, Advanced ,2,9.9
U0279,30,Female,1.8,84.3, Beginner ,3,28.0
U0280,57,MALE,1.66,63.9,Advanced,5,27.6
 U0281 ,19, Male ,1.8,82.2,Intermediate,4,12.5
 U0282 ,42,Female,1.86,73.5,Intermediate,2,21.0
 U0283 ,45,Male,1.72,87.0,beginner,2,12.3
U0284,36,Female,1.87,59.1,Advanced,3,17.0
U0285,43,Male,1.76,87.1,Advanced,2,23.4
U0286,54, Female ,1.75,67.8,Beginner,4,16.7
U0287,42,Male,1.83,101.7,Beginner,5,26.5
U0288,43,Male,1.61,89.4,Intermediate,2,24.5
U0289,23,Female,1.56,74.0,Advanced,2,27.4
U0290,38,Male,1.83,82.0,Advanced,3,32.0
U0291,44,Female,1.87,69.2,Advanced,2,20.0
U0292,49,Female,1.75,73.3,Advanced,3,62.0
U0293,24,Male,1.66,72.5,Advanced,5,28.6
U0294,39, MALE ,1.75,85.6,Intermediate,2,11.4
U0295,42,Male,1.72,62.0,Intermediate,5,24.9
U0296,39,Female,1.86,79.1,intermediate,5,17.7
U0297,52,Male,1.77,76.7, Advanced ,2,
U0298,36,Female,1.89,72.5,Advanced,3,31.0
U0299,18, Male ,1.65,79.3,Beginner,2,17.0
U0300,56,Male,1.66,62.1,Advanced,3,17.8
U0301,22,Male,1.69,71.3, Intermediate ,3,18.4
U0302,18,Male,1.76,,Advanced,4,21.7
U0303,39,Male,1.79,82.5,Beginner,3,
U0304,27,Male,1.56,89.1,Beginner,5,15.3
U0305,21,Male,1.65,64.3,Advanced,2,27.1
U0306,43, Female ,1.8,87.5,Beginner,4,13.7
 U0307 ,22, Female ,1.96,65.1,Beginner,3,23.1
U0308,31,Male,1.62,96.9,Beginer,2,14.8
U0309,29,Male,1.84,59.8,Intermediate,4,29.9
U0310,45,Male,1.66,80.1,Intermediate,5,17.3
U0311,56,Female,1.79,87.8,Beginer,5,17.5
 U0312 ,54,Male,1.72,85.6,Beginner,2,12.1
U0313,33,Male,1.75,76.0,Advanced,5,22.4
U0314,37,FEMALE,1.7,75.5,Beginner,2,
U0315,31,Male,1.8,75.0,Intermediate,5,18.2
U0316,58,Male,,71.2,Advanced,4,10.6
U0317,46,Male,1.6,53.4,Beginner,4,23.1
U0318,45,Male,1.88,62.9,Advanced,2,28.4
 U0319 ,23,Female,1.67,74.6,Beginner,3,50.0
U0320,30, Female ,1.83,64.7,Advanced,4,16.4
U0321,21,Female,1.82,54.7,Advanced,2,17.2
U0322,21,male,1.74,81.1,Intermediate,3,23.2
U0323,21,Female,1.7,79.9,Intermediate,2,18.0
U0324,29,Female,1.75,77.4,Intermediate,2,12.4
U0325,56,Female,1.89,63.5,Beginner,4,27.7
U0326,43,Male,1.79,86.8,Beginner,2,24.5
U0327,58,Female,1.55,75.7,Intermediate,3,23.4
U0328,22,Male,1.74,81.2,Intermediate,2,14.5
 U0329 ,44,Male,1.72,53.4,advanced,2,21.4
U0330,38, MALE ,1.76,91.9,Intermediate,3,19.4
U0331,21,Female,1.53,73.6,advanced,5,19.9
U0332,41,Male,1.8,65.6,Beginner,2,26.2
U0333,26,Male,1.75,,Advanced,5,26.9
U0334,44,Male,1.7,79.1,Intermediate,5,15.2
U0335,40, Male ,1.66,70.1,Advanced,5,24.7
U0336,45,Male,1.56,93.9,Beginner,2,37.5
U0337,22,Female,1.8,85.4,beginner,5,23.4
 U0338 ,50,Male,1.98,87.4,Beginner,2,19.1
U0339,58,Male,1.64,54.1,Advanced,3,30.6
U0340,19,Female,1.55,105.5,ADV,2,23.3
U0341,58,Male,1.69,76.0,expert,2,31.7
U0342,44,Male,1.59,82.9,Advanced,5,15.6
 U0343 ,51,Male,1.86,73.2,Beginer,5,22.2
U0344,50,Female,1.84,57.8,Beginner,2,5.3
 U0345 ,29,male,1.84,63.6,Advanced,4,17.2
U0346,41,Male,1.82,83.0,expert,3,19.9
U0347,53, F ,1.67,57.4,Beginner,2,16.8
U0348,26,Male,1.92,88.2,Intermediate,3,12.1
U0349,31,Female,1.65,74.8,Advanced,3,19.1
U0350,38,Female,,69.0,Intermediate,5,31.6
U0351,50,Male,1.84,81.7,Beginner,5,16.4
U0352,35,MALE,1.72,64.5,Beginner,5,15.8
U0353,22,Male,1.69,60.6,expert,2,9.0
U0354,21, male ,1.81,65.9,Beginner,2,28.1
U0355,35, Female ,1.6,49.9,Advanced,3,24.3
U0356,48,Male,1.74,73.2,Intermediate,4,26.1
U0357,27,Male,1.77,67.5,Advanced,2,13.2
U0358,21,Male,1.72,88.6,Advanced,2,28.6
U0359,50,Male,,73.2,INT,4,26.6
U0360,22,Female,1.65,73.6,Intermediate,2,25.3
U0361,30,Male,1.69,80.7,Beginner,2,
U0362,43,Male,1.63,78.1,Advanced,5,22.1
U0363,31,F,1.89,49.1,Beginner,5,24.5
U0364,24,Female,1.7,49.2,Advanced,2,15.8
U0365,37,Female,1.6,73.9,Advanced,4,22.5
U0366,47,Male,1.64,43.4,Intermediate,3,25.7
U0367,19,Male,1.65,78.9,Intermediate,4,29.7
U0368,45,Female,1.72,71.3,Intermediate,5,16.7
 U0369 ,38,Male,1.87,75.0,Beginner,4,20.9
U0370,39,Male,1.7,99.9,Intermediate,3,21.4
U0371,39,Female,1.73,80.8,Beginner,5,14.0
U0372,36,Male,1.87,83.8,Advanced,2,15.7
U0373,30,Male,1.63,110.3,Beginner,3,22.7
U0374,30,Female,1.81,61.4,Beginner,5,61.0
U0375,39,Male,,86.9,Intermediate,4,25.5
U0376,45,Male,1.83,61.3,Beginner,3,14.8
U0377,56,Male,1.8,44.1,Beginner,3,19.8
 U0378 ,47,MALE,1.78,81.2,Advanced,4,21.0
U0379,43,Female,1.84,57.7,Advanced,4,24.9
U0380,31, Male ,1.78,43.9, Beginner ,2,17.6
U0381,34,Male,1.82,61.3,Intermediate,3,21.6
U0382,23,MALE,1.84,59.0,Beginner,3,14.5
U0383,47, Female ,1.79,92.6,Advanced,4,12.9
U0384,28,Female,1.69,84.7,Advanced,4,26.3
U0385,21,Male,1.67,103.4,Beginner,4,17.1
U0386,38,Female,1.86,79.8,Intermediate,5,20.6
U0387,28,MALE,1.78,46.8,Intermediate,4,31.2
U0388,19,Male,1.69,65.7,Beginner,4,20.5
U0389,31, Male ,1.61,80.2,Intermediate,4,21.8
U0390,50,Female,1.73,54.7,Intermediate,5,19.2
U0391,29,F,1.68,56.8,Beginner,3,8.3
U0392,52,Male,1.79,81.3, Advanced ,4,14.8
U0393,56, Male ,1.83,74.6,Intermediate,3,27.6
U0394,48,Male,2.309982515479784,83.2,Advanced,5,11.4
U0395,46, Male ,1.7,60.7,Intermediate,5,18.7
U0396,42,Female,1.68,61.6,INT,4,13.4
U0397,57,Male,1.72,91.1,Intermediate,4,16.2
 U0398 ,33,male,1.84,70.6,Intermediate,2,27.3
U0399,23,Male,1.71,74.3,Advanced,2,19.7
U0400,23,Female,1.67,85.4,Intermediate,3,9.3
U0401,31,Male,1.72,75.3, mid ,3,24.4
U0402,53,Female,1.57,108.3,Advanced,3,31.1
U0403,46,MALE,1.9,92.3,Intermediate,3,21.6
U0404,48,M,1.62,77.6,Intermediate,5,17.5
U0405,27,Female,1.72,71.0,Advanced,3,26.3
U0406,40,Male,1.58,56.5,Intermediate,4,26.2
U0407,19,Male,1.72,76.8,Advanced,4,24.0
U0408,38,Female,1.6,88.7, Intermediate ,5,21.6
U0409,40,Male,1.83,69.5,INT,3,7.2
U0410,59,Male,1.9,86.0,Beginner,5,8.1
U0411,36,Male,1.61,76.8,Beginner,5,18.7
U0412,38,Male,1.55,82.6,Advanced,5,15.6
U0413,18,Male,1.76,62.3,Advanced,5,12.1
U0414,57,Male,1.77,88.6,Advanced,3,12.2
U0415,23,Male,1.76,50.0, Beginner ,5,32.8
U0416,52,Male,1.75,78.1,Advanced,3,23.4
U0417,57,Male,1.73,44.3,Beginner,5,23.7
U0418,27,Female,1.44,80.9,Beginner,3,20.5
U0419,52,Female,1.79,85.9,Advanced,4,17.5
U0420,21,Female,1.74,76.3,Beginner,5,12.7
U0421,34,Male,1.77,69.5,Intermediate,5,15.2
U0422,24,male,1.61,74.6,Intermediate,3,18.3
U0423,53,Male,1.58,71.1,Advanced,2,24.7
U0424,40,Female,1.64,90.8,Intermediate,3,23.9
 U0425 ,40,Male,1.83,64.8,Advanced,2,21.8
U0426,31,Female,1.72,96.6,Beginner,2,22.7
U0427,35,Female,1.82,72.7,Advanced,5,22.2
U0428,36,Male,1.81,91.8,Intermediate,5,18.3
U0429,21,Female,1.65,58.3,Intermediate,2,22.7
U0430,44,Female,1.72,72.1,Intermediate,3,24.9
U0431,21,Female,1.81,67.3,Intermediate,2,23.8
U0432,50,M,1.55,73.7,Intermediate,2,20.3
U0433,36,Female,1.74,78.9,Intermediate,2,23.7
U0434,52,Female,1.54,60.4,Intermediate,4,22.4
U0435,32,Female,1.68,95.8,Intermediate,2,13.6
U0436,53,Female,,93.2, Intermediate ,3,20.9
 U0437 ,35,Female,1.89,60.3, Beginner ,3,
U0438,39,Female,1.79,108.9,Beginner,4,16.4
U0439,26, Female ,1.79,60.9,ADV,5,10.7
 U0440 ,19,Male,1.86,55.4,Beginner,2,12.7
U0441,51,Male,1.85,78.1,Advanced,5,18.6
U0442,44,Female,1.8,52.8,Beginner,5,26.0
U0443,57,Female,1.64,74.0,Intermediate,4,29.0
U0444,40,M,1.73,65.8,Intermediate,2,19.3
U0445,56,Female,1.79,68.7,Intermediate,3,
U0446,36,M,1.74,107.5, Intermediate ,4,33.4
U0447,57,Male,1.88,97.9,Beginner,4,12.5
U0448,25,Female,1.94,94.0,INT,2,17.5
U0449,27,Male,1.65,66.3,Beginner,4,17.5
U0450,54,FEMALE,1.87,73.2,Advanced,5,25.8
U0451,49,Male,1.53,74.5,Beginner,2,25.6
U0452,46,Female,1.65,69.9,Advanced,5,18.9
U0453,25,Female,1.86,67.6,mid,4,22.0
U0454,30, Female ,1.71,76.5,Advanced,2,32.0
U0455,37,Female,1.74,69.4,Beginner,5,15.6
U0456,19,Male,1.96,80.2,Beginner,5,21.2
 U0457 ,51,Female,1.81,90.6,Intermediate,4,63.0
 U0458 ,35,Male,1.67,60.3, Beginner ,3,26.5
U0459,36,Male,1.94,84.1,Advanced,2,24.4
U0460,49,Female,1.61,71.6, Intermediate ,4,28.6
 U0461 ,44,Female,1.63,67.0,Intermediate,2,11.8
U0462,58,Male,1.68,60.9,Advanced,5,20.1
U0463,50,Male,1.73,81.4,Advanced,2,18.6
U0464,53,Male,1.81,66.3,Beginner,2,10.4
U0465,41,Male,1.85,71.1,Intermediate,2,13.3
U0466,26,F,1.74,85.7, Advanced ,4,19.2
U0467,35,Female,1.72,64.8,Advanced,3,28.7
U0468,39,Male,,82.9,mid,2,24.7
U0469,57,FEMALE,2.01,50.4, Advanced ,3,14.2
 U0470 ,54,Male,2.453343661986156,57.3,Advanced,4,8.1
U0471,32,Female,1.73,82.0,Beginner,3,20.5
U0472,25,Male,1.77,83.5,Beginner,4,30.3
U0473,36,Male,1.73,69.5,Beginner,3,25.4
 U0474 ,28, FEMALE ,1.76,68.6,Beginner,4,19.8
U0475,37,Female,1.65,78.7,Advanced,2,13.0
U0476,21,female,1.79,77.6, Intermediate ,3,18.4
U0477,41,Female,1.87,63.9,Advanced,2,5.7
U0478,34, Female ,1.7,71.7,Intermediate,4,10.6
 U0479 ,39, Male ,1.9,64.2,expert,2,15.3
U0480,21, Male ,1.79,66.8, Beginner ,5,4.4
U0481,31,Male,1.81,,Advanced,4,13.0
U0482,40,MALE,1.62,90.7,Beginner,4,23.6
U0483,23,Female,1.73,53.8,Advanced,3,31.1
U0484,37, F ,1.62,88.0,Advanced,2,
U0485,48,M,1.87,62.2,Intermediate,2,25.3
U0486,41,Female,1.8,85.7,Advanced,5,21.3
U0487,56,Male,1.77,83.1,advanced,4,19.8
U0488,44,Male,1.64,81.1,Advanced,3,23.2
U0489,22,Female,1.89,87.2, Advanced ,5,14.2
U0490,34,Female,1.72,77.8,Intermediate,3,18.7
 U0491 ,54,Male,1.82,85.3,Advanced,3,28.7
